member_id,occupation_id1
2629715,"367,230,46,368,229,228"
2927715,"142,343,3"
2994281,289
2987568,"96,95"
3002063,324
2954918,"2,14,289"
2995352,14
1451904,"42,40,36,37,344,184,185,226,39"
2994633,301
3001109,179
2924344,"236,287,288,366,230"
2225864,"112,113,346,99,110"
1146596,"316,307"
3001696,14
2993599,268
2698735,"15,10,14"
2996352,8
2413291,324
3002369,14
411177,"213,30,191"
2984867,112
3001529,5
2994260,29
2783846,"225,227,226,239,368"
2998354,382
2990254,291
2996969,47
1802972,"20,151,330,331,16,14,21,1,4,15"
2991433,1
96920,217
1042559,99
2994226,382
2999702,227
2999580,32
2661893,1
2984659,"40,351,130,139,41,42,17,96,14,113,4,356,64"
2240688,2
2739530,18
2998562,27
2991316,1
2993739,"2,8,5"
2990635,323
2995273,14
2099632,14
2993288,298
2998029,20
2993223,"290,229"
3000821,14
2999264,139
2881160,230
2904982,14
2993356,"289,278"
2974175,13
2628471,15
2999495,"40,35"
2994531,"227,368,225,226,330"
3001141,324
2878802,226
2943396,14
2972538,"331,330"
2304351,214
2272278,"14,17,40,329"
2520875,179
2788170,"26,4,15,14,27,28,17,330,16,10"
2998699,139
2518004,142
2992218,289
2961921,14
1905104,"14,12,40,15,1,48"
2456116,"230,227,322,368,228,3,367,369,5,229,139"
2997215,15
3001110,14
2992277,49
2965226,142
2999407,270
647465,"29,1,339"
1735924,3
2993462,238
2910797,14
1697208,222
652545,"227,14,367,270"
2994329,40
2996510,226
592978,"296,367"
2911124,"226,328"
595394,"241,371,382,297,266,264,232"
2043923,217
3000668,206
2994131,382
2998527,15
2991680,35
2990330,35
2961371,152
2965561,374
2811234,"223,367"
2826844,"21,225,230,227,226,14,368"
2998368,139
1112712,173
1702192,14
2992673,367
2535188,"225,14"
2997230,167
2938728,"228,368,230,225,223,229,370,227,367,226,231,369,224"
2966131,204
3001320,222
3000200,3
2488645,"317,35,43,368,8"
2508447,"368,225,226,367"
2215240,14
3000134,2
2944159,"93,344,229,230,95,96,368,345,226,228,2,369,225"
2986804,218
914163,"19,18"
831382,"319,5,322,323"
311187,"167,226,225"
569307,"296,21,225,368,42"
2606346,4
2998682,2
3000234,14
2956369,367
1860093,"99,64,113,262,266,50"
2997988,337
3001093,291
2967417,223
3002631,236
2590007,"29,49,1"
2905494,40
2989520,343
1025016,"335,13,293,295,337,14,331,330,230,228,329,382,369,12,229"
2849110,17
2998338,248
2528230,"17,380"
2994080,303
647989,"241,367,382,47,225"
310684,139
3001513,1
2578860,35
2990473,156
2594970,"256,376,334,372,1,374"
2992321,"218,15,17,16,14,4,214,3,1,334"
2864543,17
2978618,"227,337"
2960767,3
2991214,337
2678877,14
2991146,142
2994650,20
2992056,222
2923638,"48,14,47,35,40"
1452473,"2,1,40,5"
2276644,"367,224,152"
993967,"14,18"
2995088,275
2975506,"367,223,224"
2995068,200
2981372,382
2992629,170
2995000,14
2983147,"339,29,34,26,28,32,340,12,338,64,14,48,13,356,20,130,27,335,33,351"
2992674,341
2993146,159
3002662,14
2993472,238
2990368,3
2993413,197
2312474,335
2159895,14
2353335,319
255300,"371,156,241"
2850385,14
2975464,225
2411307,14
2990743,3
473197,"230,222,197,338"
2627971,20
3002760,14
2944811,"82,40,14"
2993721,14
2906012,2
850138,"347,116,130"
2709346,14
2252079,"37,36"
2994241,"3,4,35"
2990233,15
2981276,343
1840458,382
2989705,14
2952903,"256,367,291,265"
2802815,"289,278"
2297718,"374,155,156,359"
2998141,146
2989772,3
3002556,15
1821354,"293,369,228,229,296,226,230"
3001409,2
2986268,193
2484025,367
2992737,336
2999218,143
2232391,238
2996467,40
1877657,1
2691007,151
3001752,1
2759442,289
2997088,40
2840161,289
347725,"223,366,224"
2998041,362
2987197,"239,238,223,45,40,221"
2985442,"14,18,21"
2993995,"236,165"
2992446,14
2999216,199
2992873,229
2994410,5
2904840,"301,319,303,1,2"
2949456,24
2999894,40
1525085,"351,139,350"
3001121,342
2988430,14
668283,"371,232,238,239"
2988755,30
2970096,380
2994886,14
2989906,238
2563428,382
2969336,156
2999419,275
3002355,24
2992413,271
2978412,2
2995562,34
2850656,1
2995901,17
2858238,367
2989706,35
255852,"227,40,14"
2869284,"265,262,270,239,247,255"
2445916,14
2991275,265
3002031,175
2990345,210
2995315,153
3002030,336
3000227,14
2428119,14
2990677,17
2990746,339
2790735,"14,336,15"
2830653,381
2489323,"322,32,369,226,368,228,229,329,318,323,48"
2991841,336
2835504,"337,248,240,255,247,241,239,382,256,363,270,367,45,262"
2747775,40
1961944,"14,16,17,21,18,20,22"
2989673,14
2829613,"19,18,21,20,14"
2995807,4
3000747,1
1754672,222
3001195,339
2992360,5
2992959,1
3001996,41
2990711,213
2827708,"367,35,226"
2997596,17
2532806,"40,96,341,35,38,36,37,82,45,342,93,39"
3001194,268
416921,"48,49,35,96,82"
3002547,268
2842086,152
3000610,1
2884684,"16,15,4,10,17,336,337,278,14"
2648489,14
2205576,14
2979311,"21,330,328,329,331,337,20,336,14,4"
2991897,17
2540826,"4,27,338,255,256,301"
2492492,343
2999519,183
634826,"226,367"
2998707,303
2171183,"339,340,14,4,29,21,15,30,329,24"
1110401,"300,40"
2948325,187
2990415,343
2991999,207
2983382,"4,15,10,14,17"
3002089,8
3002818,32
2983562,14
3000293,238
3001280,2
2978744,"226,265,266"
2994830,15
3001663,2
3002229,336
3000925,2
2306348,"40,47,41,44,48,343"
2871968,232
2995096,343
2993330,382
3000577,14
1717160,"226,225,227,368"
2989702,14
1891296,367
1227967,"313,3"
2995462,278
2990948,209
3001416,14
2166117,"43,45,342,40"
2988869,156
2987068,1
2992866,24
2996912,17
1338550,"41,13,1,5,12"
2832600,"226,225,40,223"
3002665,21
2984284,"368,225,226"
1006428,"330,21,191,278,213"
2536799,"15,326"
2989155,236
2993816,99
2970712,"14,145,64,15,278,47"
2992955,41
1221688,"18,14,278,4"
2786003,"40,2,226,5,343,1,241"
2990500,1
3002095,"1,198,343,346,21,368"
684069,"5,6,1"
2819958,"322,310,23,229,230,22,331,330,368,226,329,225,228,369,227"
2711209,"3,5,8,32,339,2,1,6"
3000169,8
2997125,364
2997685,268
444890,"227,221"
2999654,329
2995894,238
2953515,14
2990985,35
2991777,238
3002301,"40,14,343"
2999261,17
2978338,"230,15,229"
2357313,"336,10,327"
2338569,"290,226"
2715586,"14,17"
3001726,273
2973045,"225,226,369,227,368,223"
3000110,153
2997994,268
2993519,170
2996008,374
2984438,48
3001285,99
2660076,275
2987343,5
3002701,27
2997358,343
2136209,"204,330,20,331,17"
2621294,343
2952046,152
2957455,"15,170,17,14,181"
2991055,336
1961912,"18,19,225,368,226,227"
2999585,327
2934230,"183,363,177,182,176"
2999723,7
3000982,382
2995800,343
2990882,366
2902274,"215,14"
2980057,"335,1,30,12,3,29,33,331,330,13,32,339,31,34,340"
2485736,"330,331,329,224,17"
2908607,152
2979000,1
2995057,226
2902476,191
2985714,2
2958360,"273,270"
2590760,"40,44,343,227,225"
2681446,336
3002785,336
2992229,382
2995218,152
2957822,"15,331,30,170,16,3,14,4,31,21,20,29,330,27"
2600063,382
2942318,336
2951483,14
2413152,"17,14,10,337"
2989893,153
1843330,343
2989892,14
2990559,99
213736,"45,227,227,367"
1906842,241
2990221,226
3000670,14
2694659,"174,207,7,329,330,1,20,14,326,27,12,26,328,331,324"
2847645,"225,227,368"
2861292,"236,233,234,232"
24705,"222,214"
2998429,3
2987871,15
3002154,226
2916893,14
2997465,93
2988096,214
2990969,382
2998463,323
68117,"17,15,14"
65429,"270,14,139,249"
2993944,4
2862641,367
2781965,"2,334,222,217,5,1,8"
2989620,"182,176,181,170"
2411646,20
2879537,14
2969045,14
2994469,5
2991874,96
768975,"49,293,46,48,343"
2995335,289
2936186,"15,14,10"
2087146,"10,17,172,170,14"
477024,40
2997852,29
2997407,343
2691724,1
3000009,278
2084985,"113,210,346,382,198"
2003974,173
3002309,14
2988173,362
3002538,382
2994014,238
2998028,238
1522829,217
2983103,"223,198"
3002607,278
2990252,40
2990313,27
3000703,324
2954302,8
2992249,14
2534609,40
2974554,"32,368,5,18"
3002066,320
2997043,20
3001885,198
2388904,228
2973763,152
2994471,368
1762708,233
1065196,"4,17,14"
2932258,227
1144978,"10,213,14,289"
2989894,14
2467770,15
2967342,"14,306,17,329"
2992041,289
2490251,14
2990029,40
3002152,216
408262,"368,226,217,366"
2774906,297
2998063,199
1767449,"364,222,217,216"
2991586,82
2992863,50
1107414,296
2987896,"139,355,354,353,356"
2877743,153
2991094,234
2989616,303
1300963,"183,179"
2949443,8
2468158,"278,14,35,213,146"
2991700,214
2995718,343
146016,225
2992752,242
2569470,21
1344942,"291,290"
2983145,9
3001086,7
2411153,3
2448477,4
2998165,19
2855842,"2,41,1"
2444302,"201,21,10,17,40,46,16,15,4,20,14"
2990331,14
2845100,227
2998895,236
2997025,"329,225,367"
2479312,226
2999509,14
2993755,3
2640768,367
2993010,342
193896,"151,326"
2895340,17
1643595,"93,290"
3001870,269
880991,"342,40"
2982014,291
2984673,"226,228,343"
3000530,226
3001290,14
2997803,170
2992140,5
2158682,238
803199,99
2994177,40
2991654,238
2974850,287
2998259,17
3002239,35
3000654,40
2993052,175
2348444,382
2997131,14
2430284,"223,218"
1872637,"336,16,4,14,337,18,10,17,15,19"
3002021,221
2619531,"329,310,17,331,14,339"
2978687,1
2994512,46
1265123,"306,308,309,307,304,367,310"
2988603,226
1636649,"4,336"
2997346,27
2989633,17
2764384,"227,226,367"
2598738,"217,226,221"
2458209,"325,331,324,326,381,329,327,328,330"
2984039,179
2995897,49
2990894,14
976807,"224,5,1"
1689691,"15,21,4,17,96,14,35,278,143,18,142,283,144"
3002416,198
1028311,"293,324,328,296"
2696856,"21,14,18"
2993373,14
2373292,5
2465829,10
2348927,167
705932,"367,224"
449808,"14,40,35,151"
1518931,"15,14,289"
2999510,"1,343,263,5"
2857001,"359,155,374,372"
2999511,14
1799915,14
2997724,372
2036699,18
2993550,268
1228341,"14,10"
2994885,1
564918,"260,227,265,367"
2991984,14
2739951,"18,337,19"
2442492,224
2992259,184
2163389,"344,139,99"
2281811,"152,158,172,170,153,166,4,160,361,14,332,159,360,362,167"
3000989,"14,224,222,231"
2992841,9
3002526,152
2978843,367
2995735,343
2978873,227
2995066,30
3001022,301
384349,"40,345,8"
2723509,"21,5,368"
758061,239
1355358,
1254329,"331,17,17"
2724254,1
2988999,238
2976458,368
2992238,291
2740990,"40,179"
3000564,153
2996466,336
2975403,343
2997663,32
2993877,326
2991454,273
2990131,2
2870692,367
2108118,1
990059,"238,239,223"
3002321,278
2919403,"225,368,227,226"
3001617,4
2986769,14
2996405,268
822127,"293,292"
2514697,"152,153,159"
1171446,323
2634014,226
901286,"364,218,214,222"
3002693,1
2893789,"14,49,30,352"
2119730,2
2994697,1
2973355,199
2612306,"24,167,1,156,155,210,174,168,359,179,207"
3001292,139
912972,"27,368,112,46,338"
2988606,238
2962987,"14,9"
2994146,24
2882661,"12,20"
2994316,199
2991046,170
2996558,14
2993915,40
3000400,5
2330083,160
2997996,14
1952304,"267,264,268,296,300"
2988451,14
2989971,14
2992330,198
2308712,50
2015731,"21,15,14,17"
2567814,15
2998069,329
2064996,"347,3,20,352,5"
2993279,50
2999870,40
2991549,161
1390465,"12,367,4"
2513033,"35,198"
3002392,222
2801189,"275,289"
2995556,327
2993211,183
551303,"35,41,36"
2995489,233
2999231,238
1820236,"5,1"
2999557,2
2998173,343
3000609,222
2991629,5
2296433,48
2995527,152
2276742,"16,21,4,18,17,14,20"
2998654,159
3001691,326
1914363,"296,14"
2377866,"355,99,351"
328222,"216,222,214,218"
2996341,371
228425,"369,230,228,368,217,331"
2963500,"226,227,225,368"
2593325,335
2990379,217
2849785,"17,18,16,14,15"
1920867,"367,40,342,265"
659324,227
2992361,50
2993820,268
1105154,"14,4"
2991517,1
2182216,343
2989000,275
2991691,142
2996476,303
2992302,220
2990641,180
2964802,"40,14"
2818623,380
1139001,40
2998652,15
2996101,170
3001132,170
2971770,4
2301622,"367,48,47,343,203,49,46,341"
349806,"21,14,40,3,18"
2996309,4
2992135,1
2986156,1
2611754,238
2968540,"327,325,381,328,324,326"
2998989,236
2991660,317
2172278,"14,4,21"
2995097,316
327531,258
2952770,"342,3,40,5,45"
119254,18
2998264,30
2994255,21
3002299,183
2786985,40
2935360,"346,139"
801603,218
2998313,1
2481350,"110,380,359,326,228,32"
2996474,340
2993682,338
2215638,14
947774,290
2946374,241
755359,"346,99,113"
2896448,204
2993884,374
2855609,"4,14"
2980301,156
73454,"9,380,289"
3001130,40
2997745,14
1517789,"143,95,142,49"
2966230,40
2688453,"309,2"
3000230,146
2815107,295
2157668,40
1753978,18
2988834,"292,293,296,289,295"
2996686,224
2994249,14
2952843,2
2998065,14
1741150,17
2903559,2
2753758,"12,20,378,190,268,13,339,5,32,264,290,29,266,189,262"
3002025,222
182403,"99,156,167,191,41"
2608205,249
2988733,170
2993041,336
2992265,14
2997995,290
2899594,"40,42,201,41,17,341,14,64"
2988658,"229,21,14,20,226,230,16,225,10,227,15"
2999791,343
3002399,35
3002165,3
3000861,289
2998280,329
2750358,99
2983766,21
3000580,183
1013552,"289,330,368,226,278,225"
2949557,"227,228,225,368,369,226,230,229,382"
2591297,343
2674575,346
2993272,"227,225,368,226"
2930040,"14,20,4,21"
2857266,"170,181"
3001537,228
2989678,2
2999091,222
2700271,"18,21"
2994402,328
2937688,"366,224,367,369,223"
2999554,2
2999090,372
663281,"360,168,159,362,154,361,153,333,162,161,332"
2547031,99
2532003,"176,173,174,30"
2271423,2
2993243,35
2983290,227
968521,"156,165,168,167,303"
2994609,222
2381841,"325,207,210,209"
2831934,14
3000437,273
1202167,"227,207,329,2,7,226"
3000259,343
2994677,1
2996472,14
2959429,17
2992961,1
3000455,18
2997212,289
2997740,14
2855558,1
2968888,264
3001169,14
2789736,"366,271,367,231,329,330,241,273,331,265,268,380,270,370,216"
2399057,"248,367,228,152,230"
144321,1
1843852,48
2840324,"12,5,368,1,2,227,369,3,229,230"
2989785,14
2249051,2
2505624,275
2955390,"289,139,346,224,367"
2993321,170
1725346,"156,330,382,331,329,328,359,155,326"
2996939,223
2716379,17
2820584,12
2974965,40
2252426,"193,380,191,239,331,323"
2989759,40
2895895,2
2912865,2
2991495,5
249924,"326,290,14"
1103629,40
2995213,173
2993738,42
2815851,257
2370986,14
2998911,24
2603724,"30,14,292"
627282,"264,265,271,270,269"
2975080,43
2998765,217
2674559,199
2970464,49
3000820,362
2994224,1
2993154,"224,367"
1093935,"26,19"
2479298,2
2990523,14
2998629,199
2998909,"343,35,48"
2745777,"7,38,43,323,331,1,329,6,5,330"
2568201,"331,247,248,239,371,373,329,238"
3000425,24
2965909,204
2391283,"286,324,14,329,381,339,32,187,191,30,190,330,328,189"
2440893,"14,40"
2670210,295
2937314,"227,226"
2422121,"152,159"
2998664,17
2997884,266
2550321,26
3000901,362
2389165,5
1464750,268
2999234,14
2896747,47
2915148,222
2989507,"364,216,366,221,219,367,222"
2768418,"40,43,36,35,41,38,45"
2980003,8
2996972,189
2994070,330
2973446,343
2230010,"5,1,334,2"
1744132,"5,322,2,334,12,382,331,317,337,329,323,303,319,1,330"
2646591,"340,32,31,339,34,45,33"
1516945,"40,14"
2966927,"21,17,14,329"
1704302,"14,278,4"
2980035,"367,270,227,224"
383991,"246,247"
2184524,36
2633023,198
2982875,3
2756886,328
2721333,14
2992305,41
2997707,5
372847,129
2837752,14
2130084,369
2523488,2
2605871,"337,14,227"
2996299,152
759474,"40,374,249"
2995428,382
3001701,2
2995429,343
2743733,99
203205,"42,8"
2499145,34
2660504,14
2989508,207
2983879,14
2990875,1
1088036,191
2889666,175
2969487,"14,21"
2979932,14
1487066,"367,223"
2578343,15
336975,"226,249"
1141434,18
2995120,343
2964197,14
2641776,99
1489969,"170,173,29,334,31,5,1,42"
3000949,207
3000807,368
2971081,99
2996851,20
2995070,207
2990718,204
2997769,14
2306269,223
2991890,17
2998713,226
3001187,268
2990474,343
366821,"35,40,14"
2457641,"21,19,18"
2927464,367
3001230,339
1488795,"14,35"
2729061,"226,15,12,269,339,183,340"
2997622,238
294942,"48,14,213,289,47,17,331"
2992710,34
2991483,14
2404513,224
2994383,14
2999070,82
2998339,1
2785237,"14,21,330,231,4,24,331"
2994245,174
1292066,"170,172,174"
1602236,36
2999541,381
2996248,337
2988457,14
2984244,14
519843,"166,152,160,361"
2991850,14
2963108,5
2998277,3
2998196,198
2976626,40
2659465,369
2994414,24
2939140,1
2862627,"18,34,340,21,20,33,30,19,29,339,32"
2996647,1
3000804,286
2819660,1
2986385,"368,271,367,224"
3001548,17
2997725,39
2546819,"5,12,339"
2985201,10
2925616,"47,48,278"
2991888,268
2377490,"3,12,335,334,13"
2998548,35
2253173,14
2815958,5
3000467,14
2651453,48
2572171,226
2990681,382
2002957,"151,337,14,48,35,15,142,40"
924688,"296,294,291,293"
2990539,173
2995377,238
2993267,18
2951115,"82,96,95,48,35,93,345,40"
2994084,"294,290,299"
2995622,170
2128782,319
2994145,339
2726015,14
2541710,"238,367"
776820,"14,239,4,17,248"
2365362,"231,368,370,227"
2236188,239
396217,"166,167,161,160"
2996752,"226,368"
2991487,183
649613,"5,343,42"
2996709,"14,15,329"
2998831,222
2913256,335
2992356,"248,271,266,239"
2909578,1
2997662,226
2996284,"382,367,224"
2990374,191
2569101,230
2893619,215
283475,"26,19"
2990012,99
2990375,7
2154660,139
2434187,"15,2,35,3,5,16,1,14,201"
2996407,226
2507865,"192,47,198,343,48,193,41,46,189,40"
2993235,170
2998230,17
3000887,99
2862399,"227,225,368,226"
2931330,290
1149287,"223,371,372"
3001411,18
1068633,"266,231,380,264,139,268,183,352,213"
2993368,4
2995005,1
3002260,48
2998580,334
2993151,24
2770631,"382,330,328,331,6,329,326,1,5"
2990835,241
118954,"227,10,229,293,14"
3000103,95
2546384,249
3001293,303
2975000,319
2892347,18
2996312,30
2997864,210
2746014,1
2998550,21
2997351,199
2524083,2
2990234,"4,14"
2962313,226
2998192,238
2992842,17
2996608,5
2989458,382
1507195,"47,329,14,3,358,16,20"
2997188,"216,5,222"
3000538,367
2965963,14
3001222,238
2799081,"368,226,221,225,227"
2983262,"27,3,1,20,29"
2993914,343
2976913,14
2990855,1
957778,142
2961392,"152,159,153"
3001455,"14,17"
2382462,"14,15"
2849910,"170,47,224,40,41,365,5,2,37,36,231,35,39,46,38"
2127956,"278,275,14"
2990110,273
2990140,14
2995806,17
3002613,368
2681650,"14,21"
2926979,21
1401006,"289,347,1,296,20"
2905399,"95,339,341,199,63,202"
2994058,3
2993920,241
2998039,35
2994218,17
2489514,"328,142,14,4,20,49"
2999315,217
2578104,"342,40,42"
899558,50
2997529,14
2604918,"335,13,11,5,32,339,228,9,12"
2989882,50
2997966,263
1037730,"34,300,275,296,170"
2993178,222
2996797,311
3000678,343
2066650,382
2525576,8
2975887,151
1967945,303
2573420,14
2342392,14
2642138,343
681069,"35,40,96,82,345"
1901099,"19,18,323,319"
2987770,3
2350128,238
1332493,"232,226"
2995357,"40,46,35"
172773,"17,4,14"
994903,"37,38,39,200,341,199,203"
28337,"324,325,330"
2979423,"139,348,99"
2988517,183
2742206,222
2990169,298
910135,"229,370,231"
2999061,14
2870203,288
2361121,35
1479316,"42,5,37"
2999198,283
285540,"234,292,214"
2977363,26
593687,10
2989470,368
2926888,18
2506383,3
2993363,28
3002192,1
2994123,18
2350046,161
2997444,210
2897320,"21,14,20"
2789345,18
1883524,19
2978443,"13,14,15,64,4,10,12"
2999833,152
2503764,"45,337,48,14,227"
571250,"343,191"
2989798,221
2999691,336
1055188,18
1711708,14
825240,"330,328"
2997903,5
3000197,374
3001199,14
2969969,8
3001725,99
2701179,14
2864101,224
146813,"328,14,21,297,298"
2998738,343
1954725,"296,290,294,300,331,228,225,291,293"
2996381,82
2996128,268
2987340,14
2995453,382
2742135,43
2968760,14
2999985,289
190503,"167,17,221,229,191"
2738506,"255,224,40"
2759333,28
3002456,175
2996950,198
2982001,"226,229,367"
1811014,"324,381,328,329,330"
2529377,40
3001844,14
2318875,14
2976570,"230,369"
2593744,14
2446089,"4,14"
2991847,226
3002398,339
728440,296
2986723,194
2713426,14
2990138,216
2990207,17
3001073,338
2989497,166
2994120,342
2528934,20
2993301,4
2996983,179
2811176,"229,382,368,227,369,228,343"
2996513,48
2368136,14
2998770,289
2819083,40
2935707,"229,228"
2958054,368
3001247,226
2996083,382
1228352,"1,21,20"
2332605,222
628974,"198,40"
3000180,268
2993768,238
2996303,207
2379392,"14,342"
2998931,142
2140859,"224,367,368,225,227"
2989590,249
2200063,"46,16,198,213,175,179,172,170,183,14,178"
2965701,338
2547885,"4,27,3,1,10,14,17,336,30,28,337,26,2,29"
2588647,40
349424,"325,310,331,328,327"
2981325,26
2560172,"99,346,112,110"
2991030,265
2993358,343
2991555,82
3002402,40
2999266,323
2719017,14
2993220,343
1187146,"15,14,21,20"
2853975,"40,14,15,17"
2737130,"367,223"
2996543,20
781826,"35,141,283"
3002604,14
2956909,337
2490045,17
8088,"226,227,368,367,369"
2725680,14
3001428,362
3002065,265
2867210,"218,14"
2998630,227
3000082,20
2926793,14
576149,"224,227,367,368,230"
2992369,226
3000285,213
2970086,"33,32,34,339,340,30"
2997108,382
2889113,14
2995919,289
2972090,343
2954420,"225,226,227,368"
2430179,"291,293"
2992427,14
2083391,14
2992825,195
1863586,"233,7,47"
3001605,"17,14"
619101,"239,227,367,224"
2996125,1
2636575,"226,368,227,225,224,223"
2921425,"358,39,40,35,15,146"
2929744,14
2737979,14
3001639,14
2973871,"227,230"
2959431,2
2944889,"1,12,223,224,2,3,5,225,21,13,20,226,24"
2998928,18
1353641,"332,34,168,167"
2967022,14
2708917,40
2926896,328
2999795,342
1235496,4
2999982,14
2958889,"246,169"
2996688,217
1250449,"330,331,329"
2999808,374
2991771,238
2992611,226
2683642,367
2512019,343
2986517,"224,264,5"
2986253,14
1689595,"5,49,1,49,13,2,323,47,335,8,322"
2461375,"1,99,226,96"
2269608,"15,21,20,14,146,142"
1324873,"151,366,229"
3002068,14
2998566,40
2877497,"16,21,236"
2133779,"301,1,18,26"
2991252,15
2137116,"21,4,49,14,20"
2997508,338
3000549,8
2996329,343
2376883,"14,49"
2014899,99
